CID,Atom number,Atom type,CEH-v2,EEQ,HirshfeldAPC
Ac_Ac1Br1C12H15N2O5S1,1,89,0.6242743526287176,0.7078305791227499,0.392241
Ac_Ac1Br1C14H10N3O2S1,1,89,0.6410729856796797,0.7215382456406922,0.557029
Ac_Ac1Br1C15F3H31N4O3P1,1,89,0.2981136338233733,0.7332333388232748,0.289089
Ac_Ac1Br1C16H19N2O4,1,89,0.6359885650138348,0.7213346176752762,0.590914
Ac_Ac1Br1C2F3H3N1O3P1S1,1,89,0.9506394207589924,0.7147305330367573,0.633748
Ac_Ac1Br1C3F1H5N1O1S1,1,89,0.7180003364151597,0.6667701882059887,0.670922
Ac_Ac1Br1C5Cl1H7N1O5,1,89,0.7630982448478226,0.6832072613960563,0.450123
Ac_Ac1Br1C9F1H15N2O8S1,1,89,0.6213733781204644,0.7280887171156789,0.307701
Ac_Ac1Br1C9H14N2O2,1,89,1.1111727454204146,0.6996757487617837,0.93853
Ac_Ac1Br1C9H16O3P1,1,89,0.85277727606095,0.6463710371342413,0.722026
Ac_Ac1C10Cl1H29N4O4P1,1,89,0.4986397055255058,0.7255589423420348,0.408533
Ac_Ac1C10H11I1N4O5S1,1,89,0.604863496440747,0.7490317285032795,0.45348
Ac_Ac1C10H14N1O8P1,1,89,0.8891888131105303,0.7500071443809933,0.843694
Ac_Ac1C10H15N4O9P1,1,89,0.6883674984279315,0.7748966021548236,0.503686
Ac_Ac1C10H22N2O4P1S1,1,89,0.6739074393247849,0.6929447267631694,0.504621
Ac_Ac1C10H30N2O2P3,1,89,0.956447714439754,0.6932610934954442,0.731301
Ac_Ac1C10H7N7S4,1,89,0.6288299826102239,0.7812403123418887,0.61429
Ac_Ac1C11Cl1F3H14I1N1O3P2S1,1,89,0.5235376109615812,0.6871082921822018,0.453109
Ac_Ac1C11Cl1H21N3O4P1,1,89,0.8481506167541333,0.6913548754548711,0.600258
Ac_Ac1C11H11N4S1,1,89,1.0982378361911989,0.7503905449219828,1.038975
Ac_Ac1C11H12N2O4S1,1,89,0.9472526234256158,0.7175422610946924,0.761214
Ac_Ac1C11H15N3O1,1,89,1.3429291617652377,0.7447457978865932,1.174397
Ac_Ac1C11H15N3O4,1,89,0.917076346710746,0.7661628758822174,0.759924
Ac_Ac1C11H16N1O10S1,1,89,0.6828090389975912,0.7680494631891974,0.24048
Ac_Ac1C11H8N6O2S2,1,89,0.608821396272009,0.7342866431463353,0.402687
Ac_Ac1C12H16I1N2O5,1,89,0.6213269574767976,0.6756729880331811,0.576648
Ac_Ac1C12H16N4O2S1,1,89,0.6346258775731995,0.7657955034870787,0.608528
Ac_Ac1C12H16N6O10S1,1,89,0.525235781225969,0.8045205529546642,0.285566
Ac_Ac1C12H20N5O4S1,1,89,0.5248081462286212,0.7667608940444761,0.486037
Ac_Ac1C12H9N4O5,1,89,0.6802190631833194,0.7115496030992772,0.725382
Ac_Ac1C13Cl1H12N2O6,1,89,0.593618878973005,0.670933989576004,0.385854
Ac_Ac1C13F1H12O5,1,89,0.6926898916504142,0.7417239749449269,0.737885
Ac_Ac1C13H17N4O4,1,89,0.9750090210780996,0.7481782854288481,0.829866
Ac_Ac1C14Cl1F6H19N3O4P2,1,89,0.2381405843805042,0.6902508262910352,0.3054
Ac_Ac1C14H13N2O6S1,1,89,0.6762161858221304,0.7396309339650493,0.450978
Ac_Ac1C14H18N2O4,1,89,0.9029362565835812,0.7430973227435411,0.820235
Ac_Ac1C14H20N5O2,1,89,0.7853377662543795,0.7312065204352556,0.688624
Ac_Ac1C14H22O5,1,89,0.923834552690414,0.7182030758219742,0.797665
Ac_Ac1C15H24N4O3P1,1,89,0.8075474916976907,0.7243247731242917,0.624328
Ac_Ac1C15H28N5O5P1S1,1,89,0.342036185691918,0.7109084360443456,0.386536
Ac_Ac1C16F1H22O7,1,89,0.4541847151104494,0.7533666100815557,0.520559
Ac_Ac1C16H20N3O6,1,89,0.8935137437202401,0.7567388112635882,0.671469
Ac_Ac1C16H26N2O8P2,1,89,0.4305595469089851,0.7291232117168427,0.329247
Ac_Ac1C17H15N1O6,1,89,0.6710330803190766,0.7670215959769486,0.726872
Ac_Ac1C17H22N4O4P1,1,89,0.5824256974423281,0.7356206359176949,0.489386
Ac_Ac1C18F1H19N1O8,1,89,0.7456687052151434,0.7586152373399682,0.581744
Ac_Ac1C18H18N4O2S1,1,89,0.6552600482838301,0.7716374414360267,0.678857
Ac_Ac1C18H25N3O4,1,89,0.9868847209018972,0.7440959473730275,0.897962
Ac_Ac1C18H33N5O6S1,1,89,0.3781983540986637,0.7657555036285495,0.362718
Ac_Ac1C19Cl1H30O5P1,1,89,0.6629172038010447,0.6784735680922931,0.483498
Ac_Ac1C19H21O6,1,89,0.7150657334761316,0.730668169800639,0.702216
Ac_Ac1C1F3H3N3O4P1S1,1,89,0.855914228138819,0.7185460275481903,0.655684
Ac_Ac1C20H24N2O5,1,89,0.6571511770214264,0.7653689143725932,0.612022
Ac_Ac1C20H25N5O5P1,1,89,0.7816172757660403,0.7385959356415488,0.582377
Ac_Ac1C20H28N2O8P1,1,89,0.5657548557330313,0.7298459517751157,0.55116
Ac_Ac1C28H31I1N3O10P1,1,89,0.3030261692214526,0.7440066891513217,0.284469
Ac_Ac1C2F3H2N3O3P1S2,1,89,0.6189696071467378,0.7610359671334088,0.61695
Ac_Ac1C2H13N4O3,1,89,0.9011673990009834,0.7857946761109893,0.883819
Ac_Ac1C4F3H6I1N2O2P1,1,89,0.6684765505710345,0.6717605776616291,0.435112
Ac_Ac1C4H10I1N1O4,1,89,0.6852058874863173,0.6914439066994142,0.525946
Ac_Ac1C5F1H7N3O7,1,89,0.5871548521731357,0.7770606221357839,0.619968
Ac_Ac1C5F6H12N3O3P3S1,1,89,0.4591040196163053,0.7078356588019259,0.386487
Ac_Ac1C5H11N12O1,1,89,0.5451408586760647,0.7798851254907149,0.609937
Ac_Ac1C5H11N2O3,1,89,0.7784188364505091,0.7070353364823283,0.745225
Ac_Ac1C5H12N4O4S2,1,89,0.524380945781046,0.745533388628937,0.514456
Ac_Ac1C6H11N6O1P1S1,1,89,0.5797003194895205,0.6899728790184922,0.584403
Ac_Ac1C6H9I1N3O1P1S2,1,89,0.6698395600689703,0.7166811547240759,0.508281
Ac_Ac1C6H9N2O2P1S1,1,89,1.109033304955032,0.7589963690998589,0.949455
Ac_Ac1C7Cl1H10O5,1,89,0.7652735161967665,0.7496092175966833,0.595902
Ac_Ac1C7Cl1H20N1O1P1,1,89,1.1740833986939878,0.5977648266811115,0.924528
Ac_Ac1C7F3H5I1N6P1,1,89,0.4779596372768842,0.6671066172867122,0.494874
Ac_Ac1C7F6H20N1O4P3,1,89,1.050893084394003,0.7221998732036052,0.78634
Ac_Ac1C7H12I1O3,1,89,0.829931159217997,0.677268427874195,0.764349
Ac_Ac1C7H5I1N3O3S3,1,89,0.7713639863984826,0.6922550809336314,0.4351
